Run Id,Module Name,Start Time,Elapsed 'HH:MI:SS.DDDDDD'
1,REBUILD_INDEXES.SQL,2024-03-15 10:39:24.867205,00:00:01.270913
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.869296,00:00:01.26625
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.869296,00:00:01.253965
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.88353,00:00:01.252016
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.869296,00:00:01.243437
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.89379,00:00:01.241756
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.88353,00:00:01.239731
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.869296,00:00:01.232838
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.903556,00:00:01.23199
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.89379,00:00:01.229471
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.88353,00:00:01.229203
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.913265,00:00:01.222281
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.869296,00:00:01.222064
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.903556,00:00:01.219705
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.89379,00:00:01.218943
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.88353,00:00:01.218604
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.923076,00:00:01.21247
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.869296,00:00:01.211224
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.913265,00:00:01.209996
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.903556,00:00:01.209177
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.89379,00:00:01.208344
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.88353,00:00:01.20783
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.93283,00:00:01.202716
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.923076,00:00:01.200185
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.869296,00:00:01.200125
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.913265,00:00:01.199468
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.903556,00:00:01.198578
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.89379,00:00:01.19757
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.88353,00:00:01.19699
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.942885,00:00:01.192661
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.93283,00:00:01.190431
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.923076,00:00:01.189657
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.913265,00:00:01.188869
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.903556,00:00:01.187804
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.869296,00:00:01.18752
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.89379,00:00:01.18673
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.88353,00:00:01.185891
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.9527,00:00:01.182846
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.942885,00:00:01.180376
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.93283,00:00:01.179903
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.923076,00:00:01.179058
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.913265,00:00:01.178095
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.903556,00:00:01.176964
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.89379,00:00:01.175631
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.962089,00:00:01.173457
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.869296,00:00:01.17331
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.88353,00:00:01.173286
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.9527,00:00:01.170561
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.942885,00:00:01.169848
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.93283,00:00:01.169304
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.923076,00:00:01.168284
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.913265,00:00:01.167255
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.903556,00:00:01.165865
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.972002,00:00:01.163544
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.89379,00:00:01.163026
1,PROC_REBUILD_INDEX,2024-03-15 10:39:24.962089,00:00:01.161172
